00:c1:64:de:f0:df;C3;-73;-77
00:c1:64:c3:74:1f;C3;-79;-84
00:c1:64:c3:6c:9f;C3;-56;-60
00:c1:64:dd:56:ef;C3;-79;-84
00:c1:64:de:81:cf;C3;-80;-85
50:0f:80:c9:59:0f;C3;-75;-80
00:c1:64:ba:36:d0;C3;-55;-60
00:c1:64:de:eb:7f;C3;-66;-72
00:c1:64:de:ee:2f;C3;-66;-72
00:c1:64:ba:36:df;C3;-73;-80
00:c1:64:c3:6c:90;C3;-61;-70
00:c1:64:de:f7:ef;C3;-86;-90
00:c1:64:de:f0:df;C2;-78;-82
00:c1:64:c3:74:1f;C2;-73;-78
00:c1:64:c3:6c:9f;C2;-52;-55
00:c1:64:dd:56:ef;C2;-78;-73
00:c1:64:de:81:cf;C2;-75;-79
50:0f:80:c9:59:0f;C2;-81;-85
00:c1:64:ba:36:d0;C2;-61;-65
00:c1:64:de:eb:7f;C2;-73;-78
00:c1:64:de:ee:2f;C2;-73;-78
00:c1:64:ba:36:df;C2;-67;-72
00:c1:64:c3:6c:90;C2;-48;-53
00:c1:64:de:f7:ef;C2;-80;-85
00:c1:64:de:f0:df;C1;-68;-72
00:c1:64:c3:74:1f;C1;-68;-72
00:c1:64:c3:6c:9f;C1;-48;-51
00:c1:64:dd:56:ef;C1;-68;-72
00:c1:64:de:81:cf;C1;-60;-70
50:0f:80:c9:59:0f;C1;-70;-74
00:c1:64:ba:36:d0;C1;-56;-60
00:c1:64:de:eb:7f;C1;-79;-84
00:c1:64:de:ee:2f;C1;-79;-84
00:c1:64:ba:36:df;C1;-63;-66
00:c1:64:c3:6c:90;C1;-54;-60
00:c1:64:de:f7:ef;C1;-75;-79
