TimeStamp, CellandDirection, BSSID, SSID, Strength
1520606521403,C16D4,38:90:a5:37:42:d0,eduroam, -71
1520606521403,C16D4,50:0f:80:fd:7f:52,tudelft-dastud, -70
1520606521403,C16D4,38:90:a5:20:e9:0d,tudelft-dastud, -70
1520606521403,C16D4,38:90:a5:37:42:d1,TUvisitor, -70
1520606521403,C16D4,50:0f:80:c4:5f:9e,TUvisitor, -88
1520606521403,C16D4,50:0f:80:c0:ce:20,eduroam, -76
1520606521403,C16D4,50:0f:80:fd:7f:5d,tudelft-dastud, -81
1520606521403,C16D4,50:0f:80:d8:f3:7e,TUvisitor, -78
1520606521403,C16D4,50:0f:80:e3:79:6d,tudelft-dastud, -88
1520606521403,C16D4,50:0f:80:e3:79:6f,eduroam, -88
1520606521403,C16D4,50:0f:80:fd:7f:5e,TUvisitor, -81
1520606521403,C16D4,38:90:a5:20:e9:02,tudelft-dastud, -62
1520606521403,C16D4,50:0f:80:fd:7f:5f,eduroam, -82
1520606521403,C16D4,50:0f:80:fd:7f:51,TUvisitor, -71
1520606521403,C16D4,38:90:a5:20:e9:00,eduroam, -58
1520606521403,C16D4,50:0f:80:ee:6d:5f,eduroam, -87
1520606521403,C16D4,50:0f:80:e3:77:72,tudelft-dastud, -81
1520606521403,C16D4,50:0f:80:c0:ce:2e,TUvisitor, -78
1520606521403,C16D4,50:0f:80:d8:f3:7f,eduroam, -78
1520606521403,C16D4,38:90:a5:8c:93:e1,TUvisitor, -76
1520606521403,C16D4,50:0f:80:c0:ce:2f,eduroam, -78
1520606521403,C16D4,50:0f:80:c0:ce:21,TUvisitor, -76
1520606521403,C16D4,50:0f:80:fd:7f:b2,tudelft-dastud, -77
1520606521403,C16D4,38:90:a5:20:e9:0f,eduroam, -70
1520606521403,C16D4,50:0f:80:fd:7f:b1,TUvisitor, -76
1520606521403,C16D4,38:90:a5:37:46:9e,TUvisitor, -89
1520606521403,C16D4,38:90:a5:37:42:df,eduroam, -75
1520606521403,C16D4,38:90:a5:37:46:9d,tudelft-dastud, -91
1520606521403,C16D4,38:90:a5:8c:93:e2,tudelft-dastud, -76
1520606521403,C16D4,38:90:a5:20:e9:0e,TUvisitor, -70
1520606521403,C16D4,50:0f:80:c0:ce:22,tudelft-dastud, -76
1520606521403,C16D4,38:90:a5:20:e9:01,TUvisitor, -60
1520606521403,C16D4,38:90:a5:37:42:d2,tudelft-dastud, -72
1520606521403,C16D4,38:90:a5:37:42:dd,tudelft-dastud, -74
1520606521403,C16D4,38:90:a5:37:42:de,TUvisitor, -75
1520606521403,C16D4,50:0f:80:c0:ce:2d,tudelft-dastud, -77
1520606536416,C16D4,38:90:a5:37:42:d0,eduroam, -72
1520606536416,C16D4,50:0f:80:fd:7f:52,tudelft-dastud, -67
1520606536416,C16D4,50:0f:80:ee:6d:5e,TUvisitor, -84
1520606536416,C16D4,50:0f:80:c4:5f:6d,tudelft-dastud, -88
1520606536416,C16D4,50:0f:80:c4:5f:6e,TUvisitor, -87
1520606536416,C16D4,38:90:a5:20:e9:0d,tudelft-dastud, -70
1520606536416,C16D4,38:90:a5:37:42:d1,TUvisitor, -72
1520606536416,C16D4,50:0f:80:c4:5f:9e,TUvisitor, -88
1520606536416,C16D4,50:0f:80:fd:7f:5d,tudelft-dastud, -80
1520606536416,C16D4,38:90:a5:8c:93:ee,TUvisitor, -89
1520606536416,C16D4,50:0f:80:d8:f3:7e,TUvisitor, -83
1520606536416,C16D4,50:0f:80:fd:7f:50,eduroam, -66
1520606536416,C16D4,38:90:a5:37:40:8e,TUvisitor, -92
1520606536416,C16D4,50:0f:80:e3:79:62,tudelft-dastud, -74
1520606536416,C16D4,50:0f:80:e3:79:6f,eduroam, -89
1520606536416,C16D4,50:0f:80:fd:7f:5e,TUvisitor, -81
1520606536416,C16D4,38:90:a5:8c:93:ed,tudelft-dastud, -92
1520606536416,C16D4,38:90:a5:20:e9:02,tudelft-dastud, -56
1520606536416,C16D4,50:0f:80:fd:7f:5f,eduroam, -82
1520606536416,C16D4,50:0f:80:fd:7f:51,TUvisitor, -67
