TimeStamp, CellandDirection, BSSID, SSID, Strength
1520604557336,C5D3,38:90:a5:37:42:d0,eduroam, -52
1520604557336,C5D3,50:0f:80:ee:6d:5e,TUvisitor, -74
1520604557336,C5D3,38:90:a5:20:e9:0d,tudelft-dastud, -70
1520604557336,C5D3,38:90:a5:37:42:d1,TUvisitor, -52
1520604557336,C5D3,38:90:a5:20:f0:fe,TUvisitor, -70
1520604557336,C5D3,38:90:a5:37:40:80,eduroam, -71
1520604557336,C5D3,38:90:a5:37:40:8e,TUvisitor, -84
1520604557336,C5D3,50:0f:80:e3:79:6d,tudelft-dastud, -72
1520604557336,C5D3,50:0f:80:fd:7f:bf,eduroam, -85
1520604557336,C5D3,50:0f:80:e3:79:6f,eduroam, -71
1520604557336,C5D3,38:90:a5:91:74:1d,tudelft-dastud, -81
1520604557336,C5D3,50:0f:80:fd:7f:bd,tudelft-dastud, -83
1520604557336,C5D3,38:90:a5:20:f0:ff,eduroam, -71
1520604557336,C5D3,38:90:a5:20:e9:00,eduroam, -65
1520604557336,C5D3,50:0f:80:ee:6d:5f,eduroam, -74
1520604557336,C5D3,50:0f:80:fd:7f:be,TUvisitor, -84
1520604557336,C5D3,38:90:a5:20:f0:fd,tudelft-dastud, -72
1520604557336,C5D3,50:0f:80:c0:ce:2e,TUvisitor, -79
1520604557336,C5D3,38:90:a5:37:40:82,tudelft-dastud, -71
1520604557336,C5D3,50:0f:80:ee:6d:51,TUvisitor, -60
1520604557336,C5D3,50:0f:80:c0:ce:2f,eduroam, -78
1520604557336,C5D3,50:0f:80:ee:6d:5d,tudelft-dastud, -75
1520604557336,C5D3,50:0f:80:fd:7f:b2,tudelft-dastud, -71
1520604557336,C5D3,38:90:a5:20:e9:0f,eduroam, -70
1520604557336,C5D3,50:0f:80:ee:6d:50,eduroam, -60
1520604557336,C5D3,50:0f:80:fd:7f:b1,TUvisitor, -71
1520604557336,C5D3,38:90:a5:91:74:1e,TUvisitor, -81
1520604557336,C5D3,38:90:a5:37:42:df,eduroam, -56
1520604557336,C5D3,50:0f:80:ee:6d:52,tudelft-dastud, -60
1520604557336,C5D3,38:90:a5:20:e9:0e,TUvisitor, -69
1520604557336,C5D3,50:0f:80:fd:7f:b0,eduroam, -71
1520604557336,C5D3,50:0f:80:e3:79:6e,TUvisitor, -72
1520604557336,C5D3,e0:3f:49:09:d9:98,TRIBLER, -86
1520604557336,C5D3,38:90:a5:20:e9:01,TUvisitor, -61
1520604557336,C5D3,38:90:a5:37:42:d2,tudelft-dastud, -53
1520604557336,C5D3,50:0f:80:c4:60:0f,eduroam, -85
1520604557336,C5D3,38:90:a5:91:74:11,TUvisitor, -73
1520604557336,C5D3,38:90:a5:37:40:81,TUvisitor, -71
1520604557336,C5D3,38:90:a5:37:42:dd,tudelft-dastud, -56
1520604557336,C5D3,38:90:a5:37:42:de,TUvisitor, -56
1520604557336,C5D3,50:0f:80:c4:5f:6f,eduroam, -87
1520604557336,C5D3,50:0f:80:c0:ce:2d,tudelft-dastud, -79
1520604582334,C5D3,38:90:a5:37:42:d0,eduroam, -53
1520604582334,C5D3,38:90:a5:37:40:8d,tudelft-dastud, -80
1520604582334,C5D3,50:0f:80:ee:6d:5e,TUvisitor, -76
1520604582334,C5D3,50:0f:80:c4:5f:6e,TUvisitor, -90
1520604582334,C5D3,38:90:a5:20:e9:0d,tudelft-dastud, -70
1520604582334,C5D3,38:90:a5:37:42:d1,TUvisitor, -53
1520604582334,C5D3,38:90:a5:20:f0:fe,TUvisitor, -72
1520604582334,C5D3,50:0f:80:c4:60:0d,tudelft-dastud, -85
1520604582334,C5D3,38:90:a5:37:40:8e,TUvisitor, -80
1520604582334,C5D3,50:0f:80:e3:79:62,tudelft-dastud, -70
1520604582334,C5D3,50:0f:80:e3:79:6d,tudelft-dastud, -74
1520604582334,C5D3,50:0f:80:e3:79:6f,eduroam, -74
1520604582334,C5D3,38:90:a5:20:e9:02,tudelft-dastud, -54
1520604582334,C5D3,38:90:a5:20:f0:ff,eduroam, -74
1520604582334,C5D3,38:90:a5:20:e9:00,eduroam, -54
1520604582334,C5D3,50:0f:80:ee:6d:5f,eduroam, -74
1520604582334,C5D3,50:0f:80:fd:7f:be,TUvisitor, -83
1520604582334,C5D3,38:90:a5:20:f0:fd,tudelft-dastud, -73
1520604582334,C5D3,50:0f:80:c0:ce:2e,TUvisitor, -80
1520604582334,C5D3,38:90:a5:37:40:82,tudelft-dastud, -69
1520604582334,C5D3,50:0f:80:e3:79:60,eduroam, -70
1520604582334,C5D3,50:0f:80:ee:6d:51,TUvisitor, -63
1520604582334,C5D3,38:90:a5:91:74:10,eduroam, -73
1520604582334,C5D3,38:90:a5:37:40:8f,eduroam, -80
1520604582334,C5D3,50:0f:80:c0:ce:2f,eduroam, -79
1520604582334,C5D3,50:0f:80:ee:6d:5d,tudelft-dastud, -76
1520604582334,C5D3,50:0f:80:c0:ce:21,TUvisitor, -78
1520604582334,C5D3,50:0f:80:fd:7f:b2,tudelft-dastud, -71
1520604582334,C5D3,38:90:a5:20:e9:0f,eduroam, -70
1520604582334,C5D3,50:0f:80:fd:7f:b1,TUvisitor, -71
1520604582334,C5D3,38:90:a5:37:42:df,eduroam, -53
1520604582334,C5D3,50:0f:80:ee:6d:52,tudelft-dastud, -63
1520604582334,C5D3,50:0f:80:fd:7f:b0,eduroam, -71
1520604582334,C5D3,50:0f:80:c0:ce:22,tudelft-dastud, -77
1520604582334,C5D3,38:90:a5:91:74:12,tudelft-dastud, -73
1520604582334,C5D3,38:90:a5:20:e9:01,TUvisitor, -55
1520604582334,C5D3,38:90:a5:37:42:d2,tudelft-dastud, -53
1520604582334,C5D3,50:0f:80:e3:79:61,TUvisitor, -70
1520604582334,C5D3,38:90:a5:37:42:dd,tudelft-dastud, -54
1520604582334,C5D3,38:90:a5:37:42:de,TUvisitor, -53
1520604582334,C5D3,50:0f:80:c0:ce:2d,tudelft-dastud, -79
1520604577338,C5D3,38:90:a5:37:42:d0,eduroam, -53
1520604577338,C5D3,38:90:a5:37:40:8d,tudelft-dastud, -81
1520604577338,C5D3,50:0f:80:ee:6d:5e,TUvisitor, -75
1520604577338,C5D3,50:0f:80:c4:5f:6e,TUvisitor, -89
