TimeStamp, Cell, Direction, BSSID, SSID, Strength 
1520605672884,C10,D4,38:90:a5:37:40:83,TU Delft Open Dagen, -55
1520605672884,C10,D4,38:90:a5:37:40:8d,tudelft-dastud, -59
1520605672884,C10,D4,38:90:a5:37:42:d0,eduroam, -71
1520605672884,C10,D4,50:0f:80:fd:7f:52,tudelft-dastud, -68
1520605672884,C10,D4,38:90:a5:37:40:8c,TU Delft Open Dagen, -59
1520605672884,C10,D4,50:0f:80:c4:5f:6d,tudelft-dastud, -81
1520605672884,C10,D4,50:0f:80:c4:5f:6e,TUvisitor, -81
1520605672884,C10,D4,38:90:a5:9d:0f:30,eduroam, -70
1520605672884,C10,D4,38:90:a5:20:e9:0d,tudelft-dastud, -74
1520605672884,C10,D4,50:0f:80:e3:73:ff,eduroam, -91
1520605672884,C10,D4,38:90:a5:9d:0f:33,TU Delft Open Dagen, -70
1520605672884,C10,D4,38:90:a5:37:42:d1,TUvisitor, -71
1520605672884,C10,D4,38:90:a5:37:40:80,eduroam, -55
1520605672884,C10,D4,38:90:a5:8c:7c:d1,TUvisitor, -69
1520605672884,C10,D4,50:0f:80:fd:7f:5d,tudelft-dastud, -86
1520605672884,C10,D4,38:90:a5:8c:93:ee,TUvisitor, -87
1520605672884,C10,D4,38:90:a5:00:09:4e,TUvisitor, -84
1520605672884,C10,D4,38:90:a5:37:40:8e,TUvisitor, -59
1520605672884,C10,D4,50:0f:80:fd:7f:50,eduroam, -69
1520605672884,C10,D4,50:0f:80:e3:79:6d,tudelft-dastud, -55
1520605672884,C10,D4,50:0f:80:e3:79:62,tudelft-dastud, -57
1520605672884,C10,D4,50:0f:80:e3:79:63,TU Delft Open Dagen, -57
1520605672884,C10,D4,50:0f:80:e3:79:6f,eduroam, -55
1520605672884,C10,D4,50:0f:80:fd:7f:53,TU Delft Open Dagen, -69
1520605672884,C10,D4,50:0f:80:fd:7f:5e,TUvisitor, -84
1520605672884,C10,D4,38:90:a5:8c:93:ed,tudelft-dastud, -87
1520605672884,C10,D4,38:90:a5:20:f0:ff,eduroam, -82
1520605672884,C10,D4,38:90:a5:9d:0f:31,TUvisitor, -70
1520605672884,C10,D4,50:0f:80:fd:7f:51,TUvisitor, -68
1520605672884,C10,D4,38:90:a5:8c:93:ec,TU Delft Open Dagen, -87
1520605672884,C10,D4,38:90:a5:9d:0f:32,tudelft-dastud, -71
1520605672884,C10,D4,50:0f:80:fd:7f:b3,TU Delft Open Dagen, -78
1520605672884,C10,D4,38:90:a5:37:42:dc,TU Delft Open Dagen, -68
1520605672884,C10,D4,38:90:a5:20:f0:fd,tudelft-dastud, -81
1520605672884,C10,D4,50:0f:80:c0:ce:2e,TUvisitor, -88
1520605672884,C10,D4,38:90:a5:37:40:82,tudelft-dastud, -55
1520605672884,C10,D4,38:90:a5:9d:0f:3d,tudelft-dastud, -90
1520605672884,C10,D4,50:0f:80:e3:79:6c,TU Delft Open Dagen, -54
1520605672884,C10,D4,38:90:a5:20:e9:0c,TU Delft Open Dagen, -74
1520605672884,C10,D4,38:90:a5:8c:93:ef,eduroam, -87
1520605672884,C10,D4,38:90:a5:8c:93:e1,TUvisitor, -77
1520605672884,C10,D4,38:90:a5:00:09:4c,TU Delft Open Dagen, -92
1520605672884,C10,D4,38:90:a5:91:7f:8d,tudelft-dastud, -89
1520605672884,C10,D4,50:0f:80:c4:5f:6c,TU Delft Open Dagen, -81
1520605672884,C10,D4,50:0f:80:c4:5f:63,TU Delft Open Dagen, -72
1520605672884,C10,D4,50:0f:80:c0:ce:2c,TU Delft Open Dagen, -88
1520605672884,C10,D4,38:90:a5:37:40:8f,eduroam, -59
1520605672884,C10,D4,38:90:a5:8c:7c:d2,tudelft-dastud, -69
1520605672884,C10,D4,50:0f:80:c0:ce:23,TU Delft Open Dagen, -80
1520605672884,C10,D4,50:0f:80:c4:5f:61,TUvisitor, -73
1520605672884,C10,D4,38:90:a5:20:f0:fc,TU Delft Open Dagen, -83
1520605672884,C10,D4,50:0f:80:c0:ce:21,TUvisitor, -79
1520605672884,C10,D4,38:90:a5:20:e9:03,TU Delft Open Dagen, -65
1520605672884,C10,D4,38:90:a5:20:e9:0f,eduroam, -74
1520605672884,C10,D4,38:90:a5:00:09:4f,eduroam, -84
1520605672884,C10,D4,38:90:a5:8c:7c:dd,tudelft-dastud, -88
1520605672884,C10,D4,38:90:a5:9d:0f:3f,eduroam, -90
1520605672884,C10,D4,50:0f:80:fd:7f:b1,TUvisitor, -78
1520605672884,C10,D4,50:0f:80:e3:73:fc,TU Delft Open Dagen, -89
1520605672884,C10,D4,38:90:a5:37:42:df,eduroam, -68
1520605672884,C10,D4,38:90:a5:8c:93:e3,TU Delft Open Dagen, -76
1520605672884,C10,D4,5c:96:9d:65:76:8e,SLDE-™-2 5GHz, -90
1520605672884,C10,D4,38:90:a5:8c:93:e2,tudelft-dastud, -76
1520605672884,C10,D4,50:0f:80:e3:79:6e,TUvisitor, -56
1520605672884,C10,D4,38:90:a5:20:e9:0e,TUvisitor, -74
1520605672884,C10,D4,50:0f:80:e3:79:61,TUvisitor, -56
1520605672884,C10,D4,38:90:a5:37:42:d2,tudelft-dastud, -71
1520605672884,C10,D4,38:90:a5:8c:7c:d3,TU Delft Open Dagen, -69
1520605672884,C10,D4,38:90:a5:37:42:d3,TU Delft Open Dagen, -70
