TimeStamp, Cell, Direction, BSSID, SSID, Strength 
1522848690831,C4,D1,38:90:a5:37:40:8d,tudelft-dastud, -76
1522848690831,C4,D1,50:0f:80:fd:7f:52,tudelft-dastud, -77
1522848690831,C4,D1,50:0f:80:ee:6d:5e,TUvisitor, -79
1522848690831,C4,D1,38:90:a5:20:e9:0d,tudelft-dastud, -57
1522848690831,C4,D1,38:90:a5:20:f0:f1,TUvisitor, -79
1522848690831,C4,D1,c8:e0:eb:18:89:a3,Thuis ;), -65
1522848690831,C4,D1,50:0f:80:c0:ce:20,eduroam, -69
1522848690831,C4,D1,38:90:a5:37:40:8f,eduroam, -76
1522848690831,C4,D1,50:0f:80:ee:6d:5d,tudelft-dastud, -78
1522848690831,C4,D1,50:0f:80:c0:ce:21,TUvisitor, -69
1522848690831,C4,D1,50:0f:80:c4:60:0d,tudelft-dastud, -89
1522848690831,C4,D1,38:90:a5:8c:7c:d1,TUvisitor, -77
1522848690831,C4,D1,38:90:a5:20:e9:0f,eduroam, -58
1522848690831,C4,D1,38:90:a5:37:40:8e,TUvisitor, -76
1522848690831,C4,D1,50:0f:80:fd:7f:50,eduroam, -77
1522848690831,C4,D1,50:0f:80:e3:79:62,tudelft-dastud, -73
1522848690831,C4,D1,50:0f:80:e3:79:6d,tudelft-dastud, -76
1522848690831,C4,D1,50:0f:80:fd:7f:bf,eduroam, -82
1522848690831,C4,D1,08:57:00:5b:1c:bc,TPL, -69
1522848690831,C4,D1,50:0f:80:fd:7f:bd,tudelft-dastud, -80
1522848690831,C4,D1,38:90:a5:20:e9:02,tudelft-dastud, -54
1522848690831,C4,D1,38:90:a5:20:f0:ff,eduroam, -81
1522848690831,C4,D1,38:90:a5:37:42:df,eduroam, -61
1522848690831,C4,D1,38:90:a5:8c:7c:d0,eduroam, -78
1522848690831,C4,D1,5c:96:9d:65:76:8e,SLDE-™-2 5GHz, -82
1522848690831,C4,D1,50:0f:80:fd:7f:5f,eduroam, -88
1522848690831,C4,D1,50:0f:80:fd:7f:51,TUvisitor, -78
1522848690831,C4,D1,5c:96:9d:65:76:8d,SLDE-™-2, -69
1522848690831,C4,D1,38:90:a5:20:e9:00,eduroam, -53
1522848690831,C4,D1,38:90:a5:20:e9:0e,TUvisitor, -57
1522848690831,C4,D1,50:0f:80:c0:ce:22,tudelft-dastud, -69
1522848690831,C4,D1,50:0f:80:fd:7f:be,TUvisitor, -81
1522848690831,C4,D1,38:90:a5:91:74:12,tudelft-dastud, -73
1522848690831,C4,D1,38:90:a5:20:e9:01,TUvisitor, -55
1522848690831,C4,D1,50:0f:80:e3:79:61,TUvisitor, -73
1522848690831,C4,D1,50:0f:80:c0:ce:2e,TUvisitor, -80
1522848690831,C4,D1,50:0f:80:c4:60:0f,eduroam, -90
1522848690831,C4,D1,38:90:a5:91:74:11,TUvisitor, -73
1522848690831,C4,D1,50:0f:80:e3:79:60,eduroam, -73
1522848690831,C4,D1,38:90:a5:37:42:dd,tudelft-dastud, -62
1522848690831,C4,D1,38:90:a5:37:42:de,TUvisitor, -62
1522848690831,C4,D1,50:0f:80:c4:60:0e,TUvisitor, -90
1522848690831,C4,D1,50:0f:80:c0:ce:2d,tudelft-dastud, -79
1522848655827,C4,D1,38:90:a5:37:42:d0,eduroam, -57
1522848655827,C4,D1,38:90:a5:37:40:8d,tudelft-dastud, -77
1522848655827,C4,D1,50:0f:80:ee:6d:51,TUvisitor, -78
1522848655827,C4,D1,50:0f:80:ee:6d:5e,TUvisitor, -82
1522848655827,C4,D1,50:0f:80:c4:5f:6d,tudelft-dastud, -87
1522848655827,C4,D1,50:0f:80:c4:5f:6e,TUvisitor, -87
1522848655827,C4,D1,38:90:a5:20:e9:0d,tudelft-dastud, -57
1522848655827,C4,D1,38:90:a5:37:42:d1,TUvisitor, -57
1522848655827,C4,D1,c8:e0:eb:18:89:a3,Thuis ;), -58
1522848655827,C4,D1,50:0f:80:c0:ce:20,eduroam, -69
1522848655827,C4,D1,38:90:a5:37:40:8f,eduroam, -78
1522848655827,C4,D1,50:0f:80:c0:ce:21,TUvisitor, -71
1522848655827,C4,D1,38:90:a5:8c:7c:d1,TUvisitor, -80
1522848655827,C4,D1,50:0f:80:fd:7f:5d,tudelft-dastud, -88
1522848655827,C4,D1,38:90:a5:20:e9:0f,eduroam, -57
1522848655827,C4,D1,38:90:a5:37:40:8e,TUvisitor, -77
1522848655827,C4,D1,50:0f:80:e3:79:6d,tudelft-dastud, -74
1522848655827,C4,D1,50:0f:80:fd:7f:bf,eduroam, -80
1522848655827,C4,D1,08:57:00:5b:1c:bc,TPL, -68
1522848655827,C4,D1,50:0f:80:e3:79:6f,eduroam, -74
1522848655827,C4,D1,38:90:a5:91:74:1d,tudelft-dastud, -82
1522848655827,C4,D1,50:0f:80:fd:7f:bd,tudelft-dastud, -79
1522848655827,C4,D1,50:0f:80:fd:7f:5e,TUvisitor, -87
1522848655827,C4,D1,38:90:a5:20:e9:02,tudelft-dastud, -54
1522848655827,C4,D1,38:90:a5:37:42:df,eduroam, -60
1522848655827,C4,D1,5c:96:9d:65:76:8e,SLDE-™-2 5GHz, -81
1522848655827,C4,D1,5c:96:9d:65:76:8d,SLDE-™-2, -76
1522848655827,C4,D1,50:0f:80:ee:6d:52,tudelft-dastud, -77
1522848655827,C4,D1,38:90:a5:20:e9:00,eduroam, -54
1522848655827,C4,D1,38:90:a5:20:e9:0e,TUvisitor, -55
1522848655827,C4,D1,50:0f:80:e3:79:6e,TUvisitor, -73
1522848655827,C4,D1,50:0f:80:c0:ce:22,tudelft-dastud, -71
1522848655827,C4,D1,50:0f:80:fd:7f:be,TUvisitor, -79
1522848655827,C4,D1,38:90:a5:20:e9:01,TUvisitor, -55
1522848655827,C4,D1,38:90:a5:37:42:d2,tudelft-dastud, -57
1522848655827,C4,D1,50:0f:80:e3:79:61,TUvisitor, -73
1522848655827,C4,D1,50:0f:80:c0:ce:2e,TUvisitor, -78
1522848655827,C4,D1,38:90:a5:37:42:dd,tudelft-dastud, -58
1522848655827,C4,D1,38:90:a5:37:42:de,TUvisitor, -60
1522848675821,C4,D1,38:90:a5:37:42:d0,eduroam, -58
1522848675821,C4,D1,38:90:a5:37:40:8d,tudelft-dastud, -75
