TimeStamp, Cell, Direction, BSSID, SSID, Strength 
1522846723483,C12,D4,38:90:a5:37:40:8d,tudelft-dastud, -76
1522846723483,C12,D4,50:0f:80:c4:5f:6d,tudelft-dastud, -68
1522846723483,C12,D4,50:0f:80:c4:5f:6e,TUvisitor, -68
1522846723483,C12,D4,38:90:a5:8f:e7:d1,TUvisitor, -80
1522846723483,C12,D4,50:0f:80:d8:f1:81,TUvisitor, -76
1522846723483,C12,D4,38:90:a5:8f:e7:0e,TUvisitor, -82
1522846723483,C12,D4,38:90:a5:20:e9:0d,tudelft-dastud, -92
1522846723483,C12,D4,38:90:a5:37:42:d1,TUvisitor, -72
1522846723483,C12,D4,50:0f:80:c4:5f:9e,TUvisitor, -82
1522846723483,C12,D4,50:0f:80:c0:ce:20,eduroam, -63
1522846723483,C12,D4,50:0f:80:c4:60:0d,tudelft-dastud, -79
1522846723483,C12,D4,50:0f:80:fd:7f:5d,tudelft-dastud, -79
1522846723483,C12,D4,38:90:a5:8c:93:ee,TUvisitor, -77
1522846723483,C12,D4,38:90:a5:00:09:4e,TUvisitor, -74
1522846723483,C12,D4,50:0f:80:d8:f3:7e,TUvisitor, -74
1522846723483,C12,D4,38:90:a5:37:40:8e,TUvisitor, -75
1522846723483,C12,D4,50:0f:80:e3:79:6d,tudelft-dastud, -60
1522846723483,C12,D4,50:0f:80:e3:79:6f,eduroam, -58
1522846723483,C12,D4,38:90:a5:8c:93:ed,tudelft-dastud, -75
1522846723483,C12,D4,50:0f:80:fd:7f:5e,TUvisitor, -78
1522846723483,C12,D4,50:0f:80:fd:7f:bd,tudelft-dastud, -78
1522846723483,C12,D4,50:0f:80:fd:7f:5f,eduroam, -78
1522846723483,C12,D4,50:0f:80:fd:85:cd,tudelft-dastud, -92
1522846723483,C12,D4,38:90:a5:37:46:9f,eduroam, -83
1522846723483,C12,D4,50:0f:80:fd:7f:be,TUvisitor, -78
1522846723483,C12,D4,38:90:a5:06:ba:ce,TUvisitor, -88
1522846723483,C12,D4,50:0f:80:c4:5f:7d,tudelft-dastud, -74
1522846723483,C12,D4,38:90:a5:06:ba:cd,tudelft-dastud, -89
1522846723483,C12,D4,50:0f:80:c0:ce:2e,TUvisitor, -75
1522846723483,C12,D4,50:0f:80:fd:84:8e,TUvisitor, -90
1522846723483,C12,D4,50:0f:80:d8:f3:7f,eduroam, -74
1522846723483,C12,D4,50:0f:80:d8:f1:82,tudelft-dastud, -77
1522846723483,C12,D4,38:90:a5:91:7f:8d,tudelft-dastud, -75
